,measure_year,measure_month,measure_day
612,1772.0,5.0,7.0
613,1772.0,5.0,8.0
614,1772.0,5.0,9.0
615,1772.0,5.0,10.0
616,1772.0,5.0,11.0
617,1772.0,5.0,12.0
618,1772.0,5.0,13.0
619,1772.0,5.0,14.0
620,1772.0,5.0,15.0
621,1772.0,5.0,16.0
622,1772.0,5.0,17.0
623,1772.0,5.0,18.0
624,1772.0,5.0,19.0
625,1772.0,5.0,20.0
626,1772.0,5.0,21.0
627,1772.0,5.0,22.0
628,1772.0,5.0,23.0
629,1772.0,5.0,24.0
630,1772.0,5.0,25.0
631,1772.0,5.0,26.0
632,1772.0,5.0,27.0
633,1772.0,5.0,28.0
634,1772.0,5.0,29.0
635,1772.0,5.0,30.0
636,1772.0,5.0,31.0
637,1772.0,6.0,1.0
638,1772.0,6.0,2.0
639,1772.0,6.0,3.0
640,1772.0,6.0,4.0
641,1772.0,6.0,5.0
642,1772.0,6.0,6.0
643,1772.0,6.0,7.0
644,1772.0,6.0,8.0
645,1772.0,6.0,9.0
646,1772.0,6.0,10.0
647,1772.0,6.0,11.0
648,1772.0,6.0,12.0
649,1772.0,6.0,13.0
650,1772.0,6.0,14.0
651,1772.0,6.0,15.0
652,1772.0,6.0,16.0
653,1772.0,6.0,17.0
654,1772.0,6.0,18.0
655,1772.0,6.0,19.0
656,1772.0,6.0,20.0
657,1772.0,6.0,21.0
658,1772.0,6.0,22.0
659,1772.0,6.0,23.0
660,1772.0,6.0,24.0
661,1772.0,6.0,25.0
662,1772.0,6.0,26.0
663,1772.0,6.0,27.0
664,1772.0,6.0,28.0
665,1772.0,6.0,29.0
666,1772.0,6.0,30.0
667,1772.0,7.0,1.0
668,1772.0,7.0,2.0
669,1772.0,7.0,3.0
670,1772.0,7.0,4.0
671,1772.0,7.0,5.0
672,1772.0,7.0,6.0
673,1772.0,7.0,7.0
674,1772.0,7.0,8.0
675,1772.0,7.0,9.0
676,1772.0,7.0,10.0
677,1772.0,7.0,11.0
678,1772.0,7.0,12.0
679,1772.0,7.0,13.0
680,1772.0,7.0,14.0
681,1772.0,7.0,15.0
682,1772.0,7.0,16.0
683,1772.0,7.0,17.0
684,1772.0,7.0,18.0
685,1772.0,7.0,19.0
686,1772.0,7.0,20.0
687,1772.0,7.0,21.0
688,1772.0,7.0,22.0
689,1772.0,7.0,23.0
690,1772.0,7.0,24.0
691,1772.0,7.0,25.0
692,1772.0,7.0,26.0
693,1772.0,7.0,27.0
694,1772.0,7.0,28.0
695,1772.0,7.0,29.0
696,1772.0,7.0,30.0
697,1772.0,7.0,31.0
698,1772.0,8.0,1.0
699,1772.0,8.0,2.0
700,1772.0,8.0,3.0
701,1772.0,8.0,4.0
702,1772.0,8.0,5.0
703,1772.0,8.0,6.0
704,1772.0,8.0,7.0
705,1772.0,8.0,8.0
706,1772.0,8.0,9.0
707,1772.0,8.0,10.0
708,1772.0,8.0,11.0
709,1772.0,8.0,12.0
710,1772.0,8.0,13.0
711,1772.0,8.0,14.0
712,1772.0,8.0,15.0
713,1772.0,8.0,16.0
714,1772.0,8.0,17.0
715,1772.0,8.0,18.0
716,1772.0,8.0,19.0
717,1772.0,8.0,20.0
718,1772.0,8.0,21.0
719,1772.0,8.0,22.0
720,1772.0,8.0,23.0
721,1772.0,8.0,24.0
722,1772.0,8.0,25.0
723,1772.0,8.0,26.0
724,1772.0,8.0,27.0
725,1772.0,8.0,28.0
726,1772.0,8.0,29.0
727,1772.0,8.0,30.0
728,1772.0,8.0,31.0
729,1772.0,9.0,1.0
730,1772.0,9.0,2.0
731,1772.0,9.0,3.0
732,1772.0,9.0,4.0
733,1772.0,9.0,5.0
734,1772.0,9.0,6.0
735,1772.0,9.0,7.0
736,1772.0,9.0,8.0
737,1772.0,9.0,9.0
738,1772.0,9.0,10.0
739,1772.0,9.0,11.0
740,1772.0,9.0,12.0
741,1772.0,9.0,13.0
742,1772.0,9.0,14.0
743,1772.0,9.0,15.0
744,1772.0,9.0,16.0
745,1772.0,9.0,17.0
746,1772.0,9.0,18.0
747,1772.0,9.0,19.0
748,1772.0,9.0,20.0
749,1772.0,9.0,21.0
750,1772.0,9.0,22.0
751,1772.0,9.0,23.0
752,1772.0,9.0,24.0
753,1772.0,9.0,25.0
754,1772.0,9.0,26.0
755,1772.0,9.0,27.0
756,1772.0,9.0,28.0
757,1772.0,9.0,29.0
758,1772.0,9.0,30.0
759,1772.0,10.0,1.0
760,1772.0,10.0,2.0
761,1772.0,10.0,3.0
762,1772.0,10.0,4.0
763,1772.0,10.0,5.0
764,1772.0,10.0,6.0
765,1772.0,10.0,7.0
766,1772.0,10.0,8.0
767,1772.0,10.0,9.0
768,1772.0,10.0,10.0
769,1772.0,10.0,11.0
770,1772.0,10.0,12.0
771,1772.0,10.0,13.0
772,1772.0,10.0,14.0
773,1772.0,10.0,15.0
774,1772.0,10.0,16.0
775,1772.0,10.0,17.0
776,1772.0,10.0,18.0
777,1772.0,10.0,19.0
778,1772.0,10.0,20.0
779,1772.0,10.0,21.0
780,1772.0,10.0,22.0
781,1772.0,10.0,23.0
782,1772.0,10.0,24.0
783,1772.0,10.0,25.0
784,1772.0,10.0,26.0
785,1772.0,10.0,27.0
786,1772.0,10.0,28.0
787,1772.0,10.0,29.0
788,1772.0,10.0,30.0
789,1772.0,10.0,31.0
790,1772.0,11.0,1.0
791,1772.0,11.0,2.0
792,1772.0,11.0,3.0
793,1772.0,11.0,4.0
794,1772.0,11.0,5.0
795,1772.0,11.0,6.0
796,1772.0,11.0,7.0
797,1772.0,11.0,8.0
798,1772.0,11.0,9.0
799,1772.0,11.0,10.0
800,1772.0,11.0,11.0
801,1772.0,11.0,12.0
802,1772.0,11.0,13.0
803,1772.0,11.0,14.0
804,1772.0,11.0,15.0
805,1772.0,11.0,16.0
806,1772.0,11.0,17.0
807,1772.0,11.0,18.0
808,1772.0,11.0,19.0
809,1772.0,11.0,20.0
810,1772.0,11.0,21.0
811,1772.0,11.0,22.0
812,1772.0,11.0,23.0
813,1772.0,11.0,24.0
814,1772.0,11.0,25.0
815,1772.0,11.0,26.0
816,1772.0,11.0,27.0
817,1772.0,11.0,28.0
818,1772.0,11.0,29.0
819,1772.0,11.0,30.0
820,1772.0,12.0,1.0
821,1772.0,12.0,2.0
822,1772.0,12.0,3.0
823,1772.0,12.0,4.0
824,1772.0,12.0,5.0
825,1772.0,12.0,6.0
826,1772.0,12.0,7.0
827,1772.0,12.0,8.0
828,1772.0,12.0,9.0
829,1772.0,12.0,10.0
830,1772.0,12.0,11.0
831,1772.0,12.0,12.0
832,1772.0,12.0,13.0
833,1772.0,12.0,14.0
834,1772.0,12.0,15.0
835,1772.0,12.0,16.0
836,1772.0,12.0,17.0
837,1772.0,12.0,18.0
838,1772.0,12.0,19.0
839,1772.0,12.0,20.0
840,1772.0,12.0,21.0
841,1772.0,12.0,22.0
842,1772.0,12.0,23.0
843,1772.0,12.0,24.0
844,1772.0,12.0,25.0
845,1772.0,12.0,26.0
846,1772.0,12.0,27.0
847,1772.0,12.0,28.0
848,1772.0,12.0,29.0
849,1772.0,12.0,30.0
850,1772.0,12.0,31.0
851,1773.0,1.0,1.0
852,1773.0,1.0,2.0
853,1773.0,1.0,3.0
854,1773.0,1.0,4.0
855,1773.0,1.0,5.0
856,1773.0,1.0,6.0
857,1773.0,1.0,7.0
858,1773.0,1.0,8.0
859,1773.0,1.0,9.0
860,1773.0,1.0,10.0
861,1773.0,1.0,11.0
862,1773.0,1.0,12.0
863,1773.0,1.0,13.0
864,1773.0,1.0,14.0
865,1773.0,1.0,15.0
866,1773.0,1.0,16.0
867,1773.0,1.0,17.0
868,1773.0,1.0,18.0
869,1773.0,1.0,19.0
870,1773.0,1.0,20.0
871,1773.0,1.0,21.0
872,1773.0,1.0,22.0
873,1773.0,1.0,23.0
874,1773.0,1.0,24.0
875,1773.0,1.0,25.0
876,1773.0,1.0,26.0
877,1773.0,1.0,27.0
878,1773.0,1.0,28.0
879,1773.0,1.0,29.0
880,1773.0,1.0,30.0
881,1773.0,1.0,31.0
882,1773.0,2.0,1.0
883,1773.0,2.0,2.0
884,1773.0,2.0,3.0
885,1773.0,2.0,4.0
886,1773.0,2.0,5.0
887,1773.0,2.0,6.0
888,1773.0,2.0,7.0
889,1773.0,2.0,8.0
890,1773.0,2.0,9.0
891,1773.0,2.0,10.0
892,1773.0,2.0,11.0
893,1773.0,2.0,12.0
894,1773.0,2.0,13.0
895,1773.0,2.0,14.0
896,1773.0,2.0,15.0
897,1773.0,2.0,16.0
898,1773.0,2.0,17.0
899,1773.0,2.0,18.0
900,1773.0,2.0,19.0
901,1773.0,2.0,20.0
902,1773.0,2.0,21.0
903,1773.0,2.0,22.0
904,1773.0,2.0,23.0
905,1773.0,2.0,24.0
906,1773.0,2.0,25.0
907,1773.0,2.0,26.0
908,1773.0,2.0,27.0
909,1773.0,2.0,28.0
910,1773.0,3.0,1.0
911,1773.0,3.0,2.0
912,1773.0,3.0,3.0
913,1773.0,3.0,4.0
914,1773.0,3.0,5.0
915,1773.0,3.0,6.0
916,1773.0,3.0,7.0
917,1773.0,3.0,8.0
918,1773.0,3.0,9.0
919,1773.0,3.0,10.0
920,1773.0,3.0,11.0
921,1773.0,3.0,12.0
922,1773.0,3.0,13.0
923,1773.0,3.0,14.0
924,1773.0,3.0,15.0
925,1773.0,3.0,16.0
926,1773.0,3.0,17.0
